"figure","panel","group","datasets_used","minima","whisker_min","first_quartile","median","third_quartile","whisker_max","maxima"
"Sup9D",2,1,3,0.359283002814909,0.359283002814909,0.611571850470552,0.863860698126195,1.37877663646126,1.89369257479632,3.62565154145623
"Sup9D",2,2,3,1.03912092563951,0.441696362346125,0.46584613713027,0.489995911914415,0.593562221599173,0.697128531283931,11.7311935492577
"Sup9D",3,1,8,0.193246119407755,0.0801737531822487,0.215680217102565,0.507943574198577,1.62439378892617,2.36700093792517,4.3265358841061
"Sup9D",3,2,8,0.359283002814909,0.135800731803278,0.302175446383268,0.346392106679961,0.4780099712324,0.4780099712324,3.62565154145623
"Sup9D",4,1,4,1.03912092563951,0.0281235072429412,0.340076916050982,1.05511446544468,2.76217461895086,6.05019584009637,11.7311935492577
"Sup9D",4,2,4,0.193246119407755,0.277059517336416,0.278088407740777,0.322513791529161,1.18136004425113,1.18136004425113,4.3265358841061
"Sup9E",1,1,3,1.02040565824136,1.45953366315535,1.61238473246165,1.76523580176794,2.17364934711399,2.58206289246005,2.58206289246005
"Sup9E",1,2,3,0.232132704412445,0.232132704412445,0.34728836396172,0.462444023510995,0.757978322197984,1.05351262088497,1.29639957802134
"Sup9E",2,1,3,1.17353047498304,1.17353047498304,1.22106398377566,1.26859749256827,1.2735462409255,1.27849498928272,6.98552529809941
"Sup9E",2,2,3,1.02040565824136,1.02822239274594,1.05602069332835,1.08381899391076,1.14685234515709,1.20988569640342,2.58206289246005
"Sup9E",3,1,8,0.232132704412445,0.0457072249186928,0.300920448951592,0.449359279842321,0.732706172739057,1.26587183086929,1.29639957802134
"Sup9E",3,2,8,1.17353047498304,0.053114837072772,0.295050668163715,0.400145192548244,0.561710890116342,0.669722718347908,6.98552529809941
"Sup9E",4,1,4,1.02040565824136,0.21442323782567,0.430421363315839,0.509942372505645,0.712197899404382,0.712197899404382,2.58206289246005
"Sup9E",4,2,4,0.232132704412445,1.62931853046598,1.74858287528949,1.88752448320887,3.23641480666517,3.23641480666517,1.29639957802134
